,latitude,longitude,stop name,stop status
0,40.758343,-73.829171,KISSENA BL/MAIN ST,at stop
1,40.75808,-73.82871,KISSENA BL/MAIN ST,at stop
2,40.753868,-73.818411,45 AV/BOWNE ST,at stop
3,40.717819,-73.803489,164 ST/82 RD,at stop
4,40.731627,-73.804996,164 ST/JEWEL AV,approaching
5,40.699579,-73.807232,SUTPHIN BL/94 AV,approaching
6,40.757948,-73.828479,KISSENA BL/MAIN ST,approaching
7,40.762752,-73.83255,MAIN ST/NORTHERN BL,approaching
8,40.754264,-73.804814,46 AV/162 ST,approaching
9,40.763499,-73.835947,NORTHERN BL/COLLEGE PT BL,approaching
10,40.727392,-73.805031,164 ST/72 AV,approaching
11,40.709068,-73.799116,164 ST/HIGHLAND AV,< 1 stop away
12,40.757024,-73.821965,SANFORD AV/BOWNE ST,< 1 stop away
13,40.716371,-73.803116,164 ST/82 RD,< 1 stop away
14,40.743968,-73.80437,164 ST/BOOTH MEMORIAL AV,< 1 stop away
15,40.784403,-73.845794,14 AVE/COLLEGE PT BL,< 1 stop away
16,40.786017,-73.846184,14 AVE/119 ST,< 1 stop away
17,40.786019,-73.846115,14 AVE/119 ST,< 1 stop away
18,40.760416,-73.830546,KISSENA BL/MAIN ST,< 1 stop away
19,40.706246,-73.801918,PARSONS BL/JAMAICA AV,< 1 stop away
20,40.745306,-73.803911,164 ST/BOOTH MEMORIAL AV,< 1 stop away
21,40.758142,-73.823462,KISSENA BL/SANFORD AV,< 1 stop away
22,40.754156,-73.818734,SANFORD AV/BOWNE ST,< 1 stop away
23,40.737865,-73.804734,164 ST/JEWEL AV,< 1 stop away
24,40.702406,-73.803586,SUTPHIN BL/94 AV,< 1 stop away
25,40.702475,-73.803332,SUTPHIN BL/94 AV,< 1 stop away
26,40.717099,-73.803462,PARSONS BL /88 AV,0.9 miles away
27,40.759286,-73.829938,COLLEGE PT BL/31 AV,1.0 miles away
